atc_code
A01AB03
A01AB04
A01AB08
A01AB09
A01AB10
A01AB13
A01AB17
A01AB18
A01AB22
A01AB23
A01AC01
A01AC02
A01AC03
A01AD01
A01AD02
A01AD05
A01AD07
A02BA01
A02BA02
A02BA03
A02BA04
A02BB01
A02BC01
A02BC02
A02BC03
A02BC04
A02BC05
A03AA04
A03AA07
A03AB02
A03AB05
A03AB12
A03AD01
A03AE01
A03AE02
A03AE04
A03AX04
A03BA01
A03BA03
A03BB01
A03BB03
A03FA01
A03FA03
A04AA01
A04AA02
A04AA03
A04AA04
A04AA05
A04AD01
A04AD10
A04AD11
A04AD12
A05AA01
A05AA02
A05AA03
A06AB02
A06AC07
A06AD11
A06AD16
A06AD18
A06AG02
A06AG04
A06AG07
A06AH01
A06AH02
A06AX01
A06AX03
A07AA01
A07AA02
A07AA03
A07AA04
A07AA05
A07AA06
A07AA07
A07AA08
A07AA09
A07AA11
A07AC01
A07DA03
A07EA01
A07EA02
A07EA03
A07EA04
A07EA06
A07EA07
A07EB01
A07EC01
A07EC02
A07EC03
A07EC04
A07XA03
A08AA01
A08AA03
A08AA07
A08AA10
A08AB01
A08AX01
A09AB02
A09AB03
A09AB04
A10AB01
A10AB02
A10AB03
A10AB04
A10AB05
A10AC01
A10AC02
A10AC03
A10AC04
A10AD01
A10AD02
A10AD03
A10AD04
A10AD05
A10AE01
A10AE02
A10AE03
A10AE04
A10AE05
A10AF01
A10BA02
A10BB01
A10BB02
A10BB03
A10BB05
A10BB07
A10BB09
A10BB12
A10BF01
A10BF02
A10BG01
A10BG02
A10BG03
A10BH01
A10BH02
A10BH03
A10BH04
A10BX02
A10BX03
A10BX04
A10BX05
A10BX07
A11CA01
A11CC01
A11CC04
A11DA01
A11GA01
A11HA02
A11HA08
A11HA30
A12AA07
A12AA20
A12BA01
A12CA01
A12CB01
A12CC30
A14AA05
A14AA08
A14AB01
A16AA01
A16AA03
A16AA04
A16AA05
A16AA06
A16AB06
A16AX03
A16AX04
A16AX06
A16AX07
B01AA03
B01AA07
B01AB01
B01AB04
B01AB05
B01AB06
B01AB07
B01AB08
B01AB10
B01AB12
B01AC04
B01AC05
B01AC06
B01AC07
B01AC09
B01AC11
B01AC16
B01AC17
B01AC21
B01AC22
B01AD01
B01AE01
B01AE02
B01AE03
B01AE06
B01AE07
B01AX05
B01AX06
B02AA01
B02AA02
B02AB01
B02BA01
B02BC09
B02BX04
B02BX05
B03AA10
B03AB02
B03AC02
B03BA01
B03BA03
B03BB01
B03XA01
B05AA05
B05AA07
B05BB03
B05BC01
B05CA02
B05CA09
B05CB01
B05CB04
B05CX01
B05CX02
B05CX03
B05CX04
B05XA01
B05XA02
B05XA03
B05XA07
B05XA08
B05XA12
B05XA13
B05XB01
B05XX02
B06AA03
C01AA05
C01BA01
C01BA02
C01BA03
C01BB01
C01BB02
C01BC03
C01BC04
C01BD01
C01BD02
C01BD04
C01BD05
C01CA02
C01CA03
C01CA04
C01CA06
C01CA07
C01CA17
C01CA19
C01CA24
C01CE02
C01CX08
C01DA02
C01DA08
C01DA14
C01DX16
C01DX19
C01EA01
C01EB03
C01EB10
C01EB16
C01EB17
C01EB18
C01EB19
C01EB21
C02AA01
C02AA02
C02AB01
C02AB02
C02AC01
C02AC02
C02AC05
C02BB01
C02CA01
C02CA04
C02DA01
C02DB02
C02DC01
C02DD01
C02KB01
C02KX01
C02KX02
C02KX03
C03AA01
C03AA02
C03AA03
C03AA04
C03AA05
C03AA08
C03BA04
C03BA08
C03BA11
C03CA01
C03CA02
C03CA04
C03CC01
C03DA01
C03DA04
C03DB01
C03DB02
C03XA01
C03XA02
C04AA01
C04AB01
C04AC01
C04AD03
C04AX02
C05AA01
C05AA04
C05AA05
C05AA06
C05AA09
C05AA10
C05AA11
C05AD01
C05AD02
C05AD03
C05AD05
C05AE01
C05AE02
C05BA03
C05BA04
C07AA02
C07AA03
C07AA05
C07AA06
C07AA07
C07AA12
C07AA15
C07AA23
C07AB02
C07AB03
C07AB04
C07AB05
C07AB07
C07AB08
C07AB09
C07AB11
C07AB12
C07AG01
C07AG02
C08CA01
C08CA02
C08CA03
C08CA04
C08CA05
C08CA06
C08CA07
C08CA13
C08DA01
C08DB01
C08EA02
C08EX02
C09AA01
C09AA02
C09AA03
C09AA04
C09AA05
C09AA06
C09AA07
C09AA08
C09AA09
C09AA10
C09CA01
C09CA02
C09CA03
C09CA04
C09CA06
C09CA07
C09CA08
C09XA02
C10AA01
C10AA02
C10AA03
C10AA04
C10AA05
C10AA06
C10AA07
C10AA08
C10AB02
C10AB04
C10AB05
C10AC01
C10AC02
C10AC04
C10AD02
C10AD06
C10AX01
C10AX09
D01AA01
D01AA02
D01AA08
D01AC01
D01AC02
D01AC03
D01AC06
D01AC08
D01AC09
D01AC11
D01AC14
D01AC15
D01AE12
D01AE13
D01AE14
D01AE15
D01AE16
D01AE21
D01AE22
D01AE23
D01BA01
D01BA02
D03AX03
D04AA02
D04AA10
D04AA14
D04AA32
D04AB01
D04AB04
D04AB06
D05AD02
D05AX02
D05AX03
D05AX05
D05BA02
D05BB02
D06AA01
D06AA03
D06AA04
D06AX01
D06AX02
D06AX04
D06AX05
D06AX07
D06AX09
D06AX11
D06AX12
D06AX13
D06BA01
D06BA03
D06BA05
D06BB01
D06BB03
D06BB04
D06BB06
D06BB10
D06BB11
D06BX01
D07AA01
D07AA02
D07AA03
D07AB01
D07AB02
D07AB03
D07AB06
D07AB08
D07AB09
D07AB10
